lane_name,origin_city,destination_city,baseline_distance_miles,departure_date,departure_hour,day_of_week,actual_miles_driven,fuel_consumed_gallons,fuel_cost_total,mpg_achieved,cost_per_mile,drive_time_hours,avg_speed_mph,weather_conditions,delay_hours,load_weight_lbs,price_per_gallon
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-06-25,16,Wednesday,41.74,6.52,22.83,6.4,0.547,0.62,66.84,Clear,1.81,34982,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-10-11,6,Saturday ,113.36,23.91,87.77,4.74,0.7743,1.78,63.52,Snow,0.9,36751,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-08-03,16,Sunday   ,335.09,49.72,188.64,6.74,0.563,5.74,58.4,Clear,1.15,38569,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-08-15,0,Friday   ,294.76,43.24,194.25,6.82,0.659,4.84,60.93,Partly Cloudy,1.91,33055,
New York-Philadelphia,New York,Philadelphia,95.0,2025-06-25,16,Wednesday,93.92,16.21,56.74,5.79,0.6041,1.45,64.73,Rain,2.2,37534,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-10-24,11,Friday   ,516.59,92.27,330.79,5.6,0.6403,8.79,58.78,Partly Cloudy,1.45,42022,
Dallas-Houston,Dallas,Houston,239.0,2025-08-08,8,Friday   ,243.51,35.28,174.48,6.9,0.7165,3.89,62.68,Clear,2.3,37419,
San Antonio-Austin,San Antonio,Austin,80.0,2025-06-23,4,Monday   ,82.47,13.62,50.72,6.06,0.615,1.27,65.12,Cloudy,0.64,44637,3.725
Tampa-Orlando,Tampa,Orlando,84.0,2025-08-07,10,Thursday ,85.43,13.26,50.49,6.44,0.591,1.42,59.99,Clear,1.86,39011,
Seattle-Portland,Seattle,Portland,173.0,2025-08-08,11,Friday   ,174.33,26.76,121.5,6.51,0.697,3.0,58.18,Cloudy,0.3,25288,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-10-06,16,Monday   ,253.74,40.15,147.36,6.32,0.5808,4.33,58.59,Clear,1.35,27077,3.67
San Antonio-Austin,San Antonio,Austin,80.0,2025-08-09,17,Saturday ,80.71,14.53,71.87,5.55,0.8905,1.21,66.82,Clear,1.03,43718,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-08-20,8,Wednesday,166.9,27.35,101.24,6.1,0.6066,2.5,66.85,Cloudy,2.19,26785,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-10-03,11,Friday   ,333.02,56.09,209.27,5.94,0.6284,5.73,58.16,Clear,1.19,31110,
Dallas-Houston,Dallas,Houston,239.0,2025-07-27,18,Sunday   ,236.98,37.41,148.7,6.33,0.6275,3.56,66.61,Partly Cloudy,0.26,35469,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-07-16,4,Wednesday,111.86,22.97,85.76,4.87,0.7667,1.68,66.52,Snow,2.43,32449,
Dallas-Houston,Dallas,Houston,239.0,2025-09-21,9,Sunday   ,245.84,35.29,175.42,6.97,0.7136,3.98,61.78,Cloudy,2.38,30696,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-09-17,8,Wednesday,177.07,32.71,121.36,5.41,0.6854,2.78,63.66,Fog,0.68,29218,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-07-17,20,Thursday ,165.94,33.2,123.93,5.0,0.7468,2.7,61.56,Rain,2.25,44568,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-08-21,16,Thursday ,110.03,23.34,86.42,4.71,0.7854,1.87,58.8,Fog,0.94,41079,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-06-30,10,Monday   ,715.38,108.29,402.28,6.61,0.5623,11.71,61.09,Clear,1.6,29707,3.715
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-10-17,21,Friday   ,173.88,27.88,100.53,6.24,0.5782,2.7,64.29,Clear,0.11,33442,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-28,5,Sunday   ,348.29,54.33,202.69,6.41,0.582,5.83,59.7,Clear,1.04,33687,
Seattle-Portland,Seattle,Portland,173.0,2025-07-23,17,Wednesday,180.63,26.5,120.36,6.82,0.6663,2.91,62.06,Partly Cloudy,0.39,33121,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-08-28,19,Thursday ,166.67,26.78,99.03,6.22,0.5942,2.73,61.12,Clear,0.36,34088,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-07-24,16,Thursday ,165.8,25.75,97.72,6.44,0.5894,2.56,64.86,Clear,0.26,38511,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-09-20,9,Saturday ,716.97,107.0,396.95,6.7,0.5536,11.05,64.91,Clear,0.91,40030,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-07-10,0,Thursday ,340.96,53.06,198.05,6.43,0.5809,5.65,60.32,Clear,1.86,39207,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-08-25,18,Monday   ,86.63,13.46,60.03,6.44,0.6929,1.43,60.43,Cloudy,1.33,43176,4.461
Dallas-Houston,Dallas,Houston,239.0,2025-08-26,20,Tuesday  ,246.52,39.22,191.11,6.29,0.7752,4.21,58.59,Clear,1.5,27169,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-07-25,17,Friday   ,546.05,100.37,378.41,5.44,0.693,9.01,60.63,Clear,2.07,28761,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-06,9,Saturday ,346.54,58.91,219.27,5.88,0.6327,5.37,64.51,Clear,1.91,36311,
New York-Philadelphia,New York,Philadelphia,95.0,2025-07-11,13,Friday   ,96.08,19.68,74.1,4.88,0.7712,1.48,65.02,Fog,1.34,40837,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-14,17,Sunday   ,332.19,60.97,228.87,5.45,0.689,5.02,66.23,Rain,0.67,34957,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-09-14,22,Sunday   ,388.86,57.26,259.55,6.79,0.6675,6.26,62.1,Partly Cloudy,2.35,32992,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-08-04,22,Monday   ,169.85,34.62,131.26,4.91,0.7728,2.67,63.63,Fog,2.1,35952,3.792
Seattle-Portland,Seattle,Portland,173.0,2025-07-07,14,Monday   ,179.67,36.81,164.24,4.88,0.9141,2.84,63.37,Fog,2.31,29802,4.462
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-08-24,7,Sunday   ,516.39,88.59,332.84,5.83,0.6446,7.88,65.51,Cloudy,2.46,37529,
San Antonio-Austin,San Antonio,Austin,80.0,2025-10-14,13,Tuesday  ,80.72,13.14,50.96,6.14,0.6313,1.25,64.51,Partly Cloudy,1.94,31077,
New York-Philadelphia,New York,Philadelphia,95.0,2025-10-22,18,Wednesday,95.91,15.93,58.54,6.02,0.6104,1.62,59.04,Cloudy,1.49,28250,
Boston-New York,Boston,New York,215.0,2025-08-04,11,Monday   ,217.41,31.36,119.39,6.93,0.5491,3.39,64.14,Cloudy,0.2,34941,3.807
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-30,7,Saturday ,191.29,40.82,150.97,4.69,0.7892,3.16,60.59,Fog,0.49,36474,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-08-13,0,Wednesday,335.56,55.02,206.17,6.1,0.6144,5.09,65.88,Clear,0.35,36811,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-10-10,18,Friday   ,359.79,59.39,221.82,6.06,0.6165,5.78,62.21,Clear,0.71,32131,
New York-Philadelphia,New York,Philadelphia,95.0,2025-08-31,0,Sunday   ,94.82,18.08,67.38,5.24,0.7106,1.45,65.47,Fog,1.96,33700,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-07-05,17,Saturday ,112.7,16.21,60.21,6.95,0.5343,1.83,61.64,Clear,1.59,39763,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-08-14,12,Thursday ,177.43,26.18,98.1,6.78,0.5529,3.01,59.0,Cloudy,1.07,34597,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-08-29,20,Friday   ,356.31,63.45,236.42,5.62,0.6635,6.08,58.65,Rain,1.38,28733,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-10-15,2,Wednesday,110.62,19.83,71.49,5.58,0.6463,1.79,61.78,Rain,0.43,27615,
Seattle-Portland,Seattle,Portland,173.0,2025-09-02,0,Tuesday  ,176.43,33.26,149.16,5.3,0.8454,3.03,58.32,Snow,1.25,37417,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-10-01,23,Wednesday,341.87,69.41,258.96,4.93,0.7575,5.37,63.7,Fog,2.17,41092,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-01,0,Friday   ,185.78,32.52,123.39,5.71,0.6642,2.86,65.03,Partly Cloudy,1.6,41336,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-08-12,19,Tuesday  ,41.41,6.19,23.27,6.69,0.5619,0.67,61.55,Cloudy,2.4,29111,
Memphis-Nashville,Memphis,Nashville,211.0,2025-10-18,5,Saturday ,214.19,31.42,113.32,6.82,0.5291,3.35,63.85,Clear,1.48,25493,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-07-15,3,Tuesday  ,181.69,25.87,96.56,7.02,0.5315,3.07,59.2,Partly Cloudy,2.17,32100,
Boston-New York,Boston,New York,215.0,2025-09-18,0,Thursday ,217.11,38.56,144.51,5.63,0.6656,3.59,60.48,Rain,0.91,30647,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-09-20,10,Saturday ,40.89,7.18,26.92,5.69,0.6584,0.63,64.8,Rain,0.96,36123,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-10-12,1,Sunday   ,366.59,79.06,355.67,4.64,0.9702,5.59,65.61,Snow,1.7,38303,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-07-22,4,Tuesday  ,294.65,49.0,222.54,6.01,0.7553,5.01,58.87,Partly Cloudy,2.19,28027,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-09-08,23,Monday   ,727.0,120.2,451.24,6.05,0.6207,12.34,58.89,Clear,1.52,32923,3.754
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-07,15,Sunday   ,353.68,55.46,206.41,6.38,0.5836,5.84,60.55,Clear,0.7,43267,
Dallas-Houston,Dallas,Houston,239.0,2025-07-07,17,Monday   ,249.35,36.09,122.11,6.91,0.4897,4.23,58.9,Clear,0.5,35986,3.383
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-08-10,7,Sunday   ,40.44,7.61,28.98,5.31,0.7166,0.66,61.43,Snow,0.33,27992,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-10-13,13,Monday   ,188.97,35.32,127.37,5.35,0.674,3.06,61.84,Snow,0.16,36706,3.606
Tampa-Orlando,Tampa,Orlando,84.0,2025-09-10,12,Wednesday,86.51,15.12,57.02,5.72,0.6591,1.43,60.56,Cloudy,1.68,44195,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-10-13,23,Monday   ,211.79,30.31,112.79,6.99,0.5326,3.63,58.29,Clear,0.17,30435,3.721
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-08-17,23,Sunday   ,374.23,64.08,287.87,5.84,0.7692,6.3,59.42,Clear,0.6,41255,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-08-14,14,Thursday ,292.74,55.05,247.28,5.32,0.8447,4.42,66.22,Rain,0.38,33414,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-08-18,1,Monday   ,527.82,90.41,339.66,5.84,0.6435,8.51,62.05,Fog,0.63,25208,3.757
Seattle-Portland,Seattle,Portland,173.0,2025-07-30,15,Wednesday,170.12,25.89,117.71,6.57,0.6919,2.68,63.43,Partly Cloudy,2.11,34593,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-07-04,8,Friday   ,341.27,65.12,241.93,5.24,0.7089,5.24,65.09,Fog,1.41,26461,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-09-14,5,Sunday   ,303.28,48.82,221.28,6.21,0.7296,5.22,58.15,Clear,0.31,32395,
Boston-New York,Boston,New York,215.0,2025-08-14,8,Thursday ,212.13,32.6,122.48,6.51,0.5774,3.27,64.81,Clear,2.07,43497,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-08-25,23,Monday   ,520.04,87.12,326.51,5.97,0.6279,7.86,66.15,Clear,1.2,41909,3.748
Dallas-Houston,Dallas,Houston,239.0,2025-08-12,13,Tuesday  ,238.55,36.88,125.3,6.47,0.5253,3.61,66.03,Clear,0.12,28071,
Seattle-Portland,Seattle,Portland,173.0,2025-10-02,1,Thursday ,177.64,36.73,166.45,4.84,0.937,2.83,62.84,Snow,0.51,32608,
Dallas-Houston,Dallas,Houston,239.0,2025-07-03,1,Thursday ,237.65,37.01,180.07,6.42,0.7577,3.98,59.78,Clear,0.61,37314,
Dallas-Houston,Dallas,Houston,239.0,2025-08-06,0,Wednesday,240.42,39.12,193.51,6.15,0.8049,3.89,61.87,Partly Cloudy,2.34,33010,
San Antonio-Austin,San Antonio,Austin,80.0,2025-09-10,16,Wednesday,80.85,13.65,53.72,5.92,0.6644,1.25,64.91,Rain,0.67,30863,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-24,5,Sunday   ,194.13,31.57,116.89,6.15,0.6021,3.29,59.02,Clear,2.36,41781,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-07-19,11,Saturday ,85.71,13.42,60.35,6.39,0.7041,1.45,59.02,Clear,0.78,31291,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-09-19,14,Friday   ,301.11,47.17,213.34,6.38,0.7085,4.77,63.1,Partly Cloudy,2.1,26018,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-10-08,11,Wednesday,299.25,55.45,249.47,5.4,0.8337,4.68,64.0,Fog,1.46,27838,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-10-03,8,Friday   ,344.94,51.98,193.93,6.64,0.5622,5.19,66.51,Clear,1.55,34948,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-08-16,1,Saturday ,213.15,37.93,142.49,5.62,0.6685,3.29,64.77,Clear,0.29,42642,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-10-17,16,Friday   ,39.67,6.99,26.01,5.68,0.6557,0.62,64.22,Partly Cloudy,0.17,42201,
Seattle-Portland,Seattle,Portland,173.0,2025-10-12,22,Sunday   ,171.66,29.77,133.95,5.77,0.7803,2.8,61.28,Cloudy,1.54,40517,
Memphis-Nashville,Memphis,Nashville,211.0,2025-10-15,8,Wednesday,208.55,32.34,116.61,6.45,0.5591,3.38,61.69,Cloudy,0.52,44249,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-10-15,0,Wednesday,296.3,44.54,198.82,6.65,0.671,4.81,61.66,Cloudy,0.45,33343,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-09-12,4,Friday   ,309.34,48.21,218.52,6.42,0.7064,5.2,59.46,Cloudy,0.59,32432,
Seattle-Portland,Seattle,Portland,173.0,2025-10-08,16,Wednesday,172.42,30.32,136.4,5.69,0.7911,2.92,58.97,Fog,2.31,31256,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-07-10,14,Thursday ,114.34,20.7,77.28,5.52,0.6759,1.71,66.8,Clear,0.33,42938,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-08-07,16,Thursday ,90.95,16.13,73.23,5.64,0.8052,1.39,65.33,Fog,1.2,34880,
New York-Philadelphia,New York,Philadelphia,95.0,2025-06-23,17,Monday   ,96.34,16.99,59.48,5.67,0.6174,1.5,64.13,Fog,2.07,27303,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-07-11,2,Friday   ,339.42,59.71,222.89,5.68,0.6567,5.18,65.5,Partly Cloudy,2.25,28367,
New York-Philadelphia,New York,Philadelphia,95.0,2025-08-10,23,Sunday   ,97.16,17.23,65.61,5.64,0.6753,1.48,65.43,Partly Cloudy,0.6,27884,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-15,6,Monday   ,339.21,55.79,206.98,6.08,0.6102,5.23,64.87,Clear,0.16,26625,3.71
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-08-22,10,Friday   ,357.29,69.39,259.05,5.15,0.725,6.16,58.02,Snow,2.14,32551,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-09-17,3,Wednesday,258.81,43.75,162.3,5.92,0.6271,3.95,65.57,Clear,1.46,31259,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-07-09,19,Wednesday,191.49,32.88,122.74,5.82,0.641,2.89,66.36,Clear,0.32,34206,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-07-27,14,Sunday   ,244.62,37.94,143.98,6.45,0.5886,3.83,63.86,Cloudy,2.08,44519,
Memphis-Nashville,Memphis,Nashville,211.0,2025-08-15,22,Friday   ,218.55,36.81,137.94,5.94,0.6312,3.71,58.9,Clear,1.89,28249,
Memphis-Nashville,Memphis,Nashville,211.0,2025-10-05,13,Sunday   ,220.88,31.14,116.19,7.09,0.526,3.67,60.14,Cloudy,0.38,30468,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-07-15,2,Tuesday  ,171.09,26.79,100.0,6.39,0.5845,2.89,59.23,Partly Cloudy,1.98,39583,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-07-19,20,Saturday ,298.38,42.81,192.57,6.97,0.6454,4.63,64.48,Partly Cloudy,0.58,33371,
Boston-New York,Boston,New York,215.0,2025-10-24,5,Friday   ,220.81,38.87,142.84,5.68,0.6469,3.39,65.18,Fog,0.58,25790,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-07-06,16,Sunday   ,218.07,36.87,139.19,5.91,0.6383,3.59,60.82,Clear,0.78,43037,
Seattle-Portland,Seattle,Portland,173.0,2025-06-23,19,Monday   ,178.57,30.76,107.65,5.81,0.6028,2.87,62.18,Rain,0.17,34879,
Memphis-Nashville,Memphis,Nashville,211.0,2025-07-24,23,Thursday ,216.73,31.64,120.07,6.85,0.554,3.6,60.15,Cloudy,0.05,28847,
Dallas-Houston,Dallas,Houston,239.0,2025-07-01,5,Tuesday  ,242.15,37.19,180.99,6.51,0.7474,3.91,61.93,Partly Cloudy,0.24,27991,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-09-25,19,Thursday ,549.25,100.72,377.42,5.45,0.6872,9.22,59.55,Partly Cloudy,1.25,34276,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-10-19,23,Sunday   ,381.85,56.87,253.89,6.71,0.6649,6.39,59.8,Clear,1.64,32410,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-10-04,3,Saturday ,377.39,66.09,299.52,5.71,0.7937,6.06,62.3,Rain,2.2,43490,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-07-11,14,Friday   ,86.65,13.54,60.41,6.4,0.6972,1.42,61.0,Clear,1.83,33754,
Memphis-Nashville,Memphis,Nashville,211.0,2025-09-09,1,Tuesday  ,216.5,35.41,132.92,6.11,0.6139,3.34,64.9,Clear,1.59,35909,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-10-24,6,Friday   ,547.38,86.23,309.12,6.35,0.5647,8.87,61.71,Clear,0.62,34734,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-08-23,1,Saturday ,39.68,7.7,28.76,5.15,0.7248,0.6,65.78,Clear,0.79,43698,
Tampa-Orlando,Tampa,Orlando,84.0,2025-07-31,20,Thursday ,84.48,13.91,53.02,6.07,0.6276,1.31,64.73,Clear,2.32,32182,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-08-13,22,Wednesday,247.41,39.21,146.93,6.31,0.5939,3.78,65.41,Clear,0.89,35401,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-08-06,18,Wednesday,741.83,135.04,512.07,5.49,0.6903,11.48,64.64,Cloudy,2.44,30783,
New York-Philadelphia,New York,Philadelphia,95.0,2025-08-31,13,Sunday   ,96.14,19.2,71.55,5.01,0.7442,1.48,64.76,Rain,0.87,44317,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-08-19,16,Tuesday  ,742.4,147.06,544.43,5.05,0.7333,11.25,65.98,Snow,1.16,38134,
Memphis-Nashville,Memphis,Nashville,211.0,2025-10-25,2,Saturday ,214.11,34.45,122.79,6.22,0.5735,3.63,58.95,Cloudy,1.56,35693,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-09-19,7,Friday   ,218.36,34.11,127.85,6.4,0.5855,3.53,61.86,Clear,1.99,32270,
Tampa-Orlando,Tampa,Orlando,84.0,2025-07-18,23,Friday   ,84.0,13.76,52.21,6.1,0.6215,1.32,63.6,Partly Cloudy,0.5,37158,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-07-10,21,Thursday ,41.43,7.25,27.28,5.71,0.6585,0.64,65.13,Clear,2.32,26385,
Boston-New York,Boston,New York,215.0,2025-07-31,17,Thursday ,218.58,45.97,175.24,4.75,0.8017,3.32,65.79,Snow,2.38,27791,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-08-03,0,Sunday   ,521.24,91.34,345.36,5.71,0.6626,8.37,62.28,Fog,0.09,28881,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-10-13,4,Monday   ,390.25,62.12,277.31,6.28,0.7106,6.71,58.16,Rain,0.91,26751,4.464
San Antonio-Austin,San Antonio,Austin,80.0,2025-07-06,21,Sunday   ,79.91,15.57,75.79,5.13,0.9484,1.27,63.11,Snow,1.49,33288,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-08-31,14,Sunday   ,293.32,57.93,258.41,5.06,0.881,4.65,63.04,Fog,0.26,36178,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-10-10,19,Friday   ,704.32,136.04,499.26,5.18,0.7089,10.98,64.14,Fog,2.05,40536,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-07-12,10,Saturday ,743.23,128.01,477.87,5.81,0.643,11.78,63.1,Clear,1.55,32727,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-19,15,Friday   ,351.71,69.15,256.54,5.09,0.7294,5.48,64.15,Snow,0.84,32529,
San Antonio-Austin,San Antonio,Austin,80.0,2025-10-06,11,Monday   ,83.08,18.23,67.66,4.56,0.8144,1.39,59.66,Snow,1.17,41954,3.711
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-07-10,22,Thursday ,378.2,54.88,244.86,6.89,0.6474,6.48,58.38,Clear,0.89,40467,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-08-11,17,Monday   ,167.68,29.25,109.61,5.73,0.6537,2.52,66.58,Clear,1.78,44421,3.747
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-07-16,12,Wednesday,339.79,58.63,222.39,5.8,0.6545,5.47,62.13,Clear,1.69,40503,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-09-20,22,Saturday ,115.87,17.92,66.48,6.47,0.5737,1.91,60.67,Rain,0.9,35036,
Seattle-Portland,Seattle,Portland,173.0,2025-09-05,18,Friday   ,171.63,28.66,128.5,5.99,0.7487,2.72,63.08,Rain,0.99,43318,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-07-23,20,Wednesday,340.72,53.76,204.01,6.34,0.5988,5.74,59.34,Clear,0.98,44320,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-10-19,4,Sunday   ,302.28,65.54,292.55,4.61,0.9678,5.15,58.69,Snow,1.75,39330,
Dallas-Houston,Dallas,Houston,239.0,2025-09-29,15,Monday   ,239.97,51.23,174.85,4.68,0.7286,3.69,65.08,Snow,1.89,37477,3.413
Boston-New York,Boston,New York,215.0,2025-07-17,23,Thursday ,222.42,42.28,160.36,5.26,0.721,3.63,61.35,Fog,0.33,38543,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-09-17,16,Wednesday,377.64,59.85,270.71,6.31,0.7168,6.16,61.34,Clear,0.89,27939,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-09-10,5,Wednesday,549.09,97.04,364.27,5.66,0.6634,9.41,58.36,Fog,0.51,42857,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-08-28,15,Thursday ,166.0,27.27,100.85,6.09,0.6075,2.83,58.6,Clear,0.69,42877,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-07-21,16,Monday   ,115.35,16.16,61.34,7.14,0.5318,1.91,60.53,Partly Cloudy,0.78,35417,3.795
Seattle-Portland,Seattle,Portland,173.0,2025-09-22,14,Monday   ,169.94,29.97,135.56,5.67,0.7977,2.66,63.98,Fog,2.01,42359,4.524
Dallas-Houston,Dallas,Houston,239.0,2025-09-21,7,Sunday   ,250.75,41.24,205.0,6.08,0.8175,3.88,64.58,Partly Cloudy,1.16,34943,
Dallas-Houston,Dallas,Houston,239.0,2025-09-18,19,Thursday ,244.81,46.39,230.61,5.28,0.942,3.77,64.96,Rain,0.23,42306,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-10-08,17,Wednesday,168.71,30.99,113.74,5.44,0.6742,2.73,61.72,Snow,1.07,38619,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-07-12,21,Saturday ,89.61,15.07,67.25,5.95,0.7505,1.35,66.34,Partly Cloudy,1.89,29219,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-10-05,3,Sunday   ,294.56,53.69,243.3,5.49,0.826,4.43,66.54,Partly Cloudy,0.61,31369,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-10-22,9,Wednesday,90.12,15.0,66.3,6.01,0.7357,1.47,61.29,Fog,2.46,31105,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-09-12,10,Friday   ,116.65,21.2,79.58,5.5,0.6822,1.77,65.88,Rain,1.93,43412,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-10-16,10,Thursday ,518.83,82.82,302.97,6.26,0.5839,7.86,66.01,Clear,1.76,29999,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-08-12,21,Tuesday  ,332.16,58.08,217.64,5.72,0.6552,5.6,59.3,Rain,0.85,37114,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-08-24,15,Sunday   ,380.06,60.78,270.78,6.25,0.7125,5.89,64.57,Clear,0.24,27899,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-09-05,14,Friday   ,114.15,18.29,68.06,6.24,0.5962,1.86,61.22,Clear,1.73,40911,
Seattle-Portland,Seattle,Portland,173.0,2025-08-20,0,Wednesday,173.39,27.7,123.41,6.26,0.7117,2.72,63.69,Clear,1.6,36097,
Boston-New York,Boston,New York,215.0,2025-09-17,23,Wednesday,219.14,40.04,150.07,5.47,0.6848,3.31,66.19,Clear,0.82,42268,
Tampa-Orlando,Tampa,Orlando,84.0,2025-10-09,9,Thursday ,87.51,13.64,50.93,6.42,0.582,1.42,61.84,Partly Cloudy,2.05,35104,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-07-04,23,Friday   ,703.02,104.76,389.19,6.71,0.5536,11.96,58.78,Clear,0.64,32487,
